Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
|    loss                 | 0.00205     |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.00668    |
|    value_loss           | 0.0164      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 45.8        |
|    ep_rew_mean          | 0.327       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 48          |
|    time_elapsed         | 172         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.009646419 |
|    clip_fraction        | 0.0894      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | -0.0462     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000671    |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.00643    |
|    value_loss           | 0.0156      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.4        |
|    ep_rew_mean          | 0.351       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 49          |
|    time_elapsed         | 176         |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.006359814 |
|    clip_fraction        | 0.061       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.164       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0152     |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.00373    |
|    value_loss           | 0.0174      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 46.7        |
|    ep_rew_mean          | 0.333       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 50          |
|    time_elapsed         | 179         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.006415122 |
|    clip_fraction        | 0.0634      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.998      |
|    explained_variance   | 0.0431      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00261    |
|    n_updates            | 490         |
|    policy_gradient_loss | -0.00822    |
|    value_loss           | 0.0184      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.4         |
|    ep_rew_mean          | 0.357        |
| time/                   |              |
|    fps                  | 570          |
|    iterations           | 51           |
|    time_elapsed         | 183          |
|    total_timesteps      | 104448       |
| train/                  |              |
|    approx_kl            | 0.0045758784 |
|    clip_fraction        | 0.0614       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.979       |
|    explained_variance   | 0.0173       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00296      |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00773     |
|    value_loss           | 0.0208       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.6         |
|    ep_rew_mean          | 0.345        |
| time/                   |              |
|    fps                  | 570          |
|    iterations           | 52           |
|    time_elapsed         | 186          |
|    total_timesteps      | 106496       |
| train/                  |              |
|    approx_kl            | 0.0035173495 |
